Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.312,0.094,245.15,1.2,0,0,0
1.792,0.102,236.85,7.6,0,0,18
0.596,0.12,242.34,2.4,0,0,1
0.226,0,241.78,0.8,0,0,1
0.298,0.106,239.62,1.2,0,1,0
0.712,0.194,241.55,3.2,1,0,7
3.044,0,239.66,12.8,0,2,18
1.53,0.212,245.26,6.2,0,0,19
1.83,0.32,237.39,7.8,0,1,18
0.442,0.254,242.64,2,0,0,1
1.358,0,239.64,5.6,1,0,17
0.826,0.256,244.7,3.6,0,2,0
1.508,0.104,241.83,6.2,1,0,18
1.604,0,240.59,6.6,0,1,1
0.234,0.12,240.38,1,0,1,0
0.364,0.082,242.3,1.6,0,0,0
0.214,0,240.52,1,0,0,0
1.798,0.332,238.5,7.6,0,2,1
1.64,0.226,240.55,8.2,0,17,0
1.034,0.342,240.92,4.4,0,1,12
0.574,0,242.56,2.4,0,0,0
1.358,0.368,235.53,6,0,1,0
1.336,0.202,240.24,5.6,0,1,18
0.134,0,241.4,0.6,0,0,0
1.714,0,237.28,7.4,1,0,17
1.696,0.054,241.15,7,0,0,18
0.188,0.048,240.83,0.8,0,0,0
1.326,0,240.84,5.4,0,0,18
0.522,0.12,240.96,2.4,0,0,0
1.196,0.104,233.45,5,0,0,17
0.234,0.104,236.68,1,0,0,0
3.66,0.472,237.75,16.2,0,0,0
0.24,0,242.58,1,0,0,1
0.244,0,241.83,1,0,0,0
0.462,0.104,241.38,2.2,0,0,0
1.32,0,240.4,5.4,0,1,18
0.454,0.172,243.29,2,0,0,0
1.868,0.058,230.12,8,0,0,17
0.262,0.124,242.71,1.2,0,0,1
0.29,0.114,242.19,1.2,0,1,0
2.012,0,239.22,8.4,0,2,1
0.27,0,244.82,1.2,0,0,1
0.316,0.252,240.95,1.6,0,1,0
0.206,0,240.8,0.8,0,0,0
0.314,0.244,240.89,1.6,0,1,0
0.67,0.438,239.8,3.4,1,0,1
1.402,0.086,239.1,5.8,0,2,0
0.316,0.202,240.34,1.6,0,0,0
0.146,0,238.04,0.6,0,0,0
0.252,0.134,244.26,1.2,0,0,1
0.35,0.106,239.02,1.4,0,0,0
1.31,0,239.93,5.4,0,0,18
2.014,0.322,238.19,8.4,0,2,28
1.46,0.088,239.13,6,0,0,18
0.322,0.244,242.2,1.6,0,1,0
0.31,0,247.68,1.4,0,0,0
0.322,0.09,240.78,1.4,0,0,0
1.63,0.208,238.63,6.8,0,0,17
1.292,0.068,241.8,5.2,0,0,18
3.956,0.186,235.07,16.8,37,1,18
1.572,0.31,241.05,6.6,0,2,19
1.362,0,245.65,5.4,0,0,19
0.27,0,238.16,1.2,1,0,1
1.416,0.122,241.65,5.8,0,0,19
0.328,0,243.11,1.4,0,0,0
4.04,0.32,234.22,17.2,0,35,0
0.366,0.218,240.51,1.8,0,1,1
1.352,0,238.76,5.6,0,0,18
0.926,0.39,241.13,4,0,0,0
3.786,0.326,236.07,16.8,18,1,28
0.39,0.24,242.88,1.8,0,0,0
0.274,0.126,242.66,1.2,0,1,0
2.054,0.058,237.74,8.6,0,0,17
0.216,0.076,244.13,1,0,0,0
0.174,0.148,239.57,0.8,0,0,1
0.134,0,245.2,0.6,0,0,1
1.598,0.418,242.78,6.8,0,0,0
1.278,0.074,243.29,5.2,0,0,18
0.154,0,241.7,0.6,0,0,1
3.61,0.388,237.86,15.4,0,28,18
6.24,0.436,229.62,27.2,0,35,16
0.368,0.072,244.06,1.6,0,0,0
0.482,0.056,244.25,2,0,0,0
1.38,0.062,241.41,5.6,0,0,19
0.446,0.23,244.64,2,0,1,1
0.346,0.098,240.67,1.4,0,0,1
0.218,0.046,240.51,1,0,0,1
0.862,0.11,240.82,3.6,0,0,12
0.228,0,244.73,1,0,0,0
1.334,0.068,236.38,5.6,0,0,17
2.542,0.068,238.36,10.8,0,0,18
0.306,0.082,243.08,1.2,0,0,0
1.364,0.212,241.91,5.6,0,1,19
0.2,0,241.44,0.8,0,0,1
2.014,0.304,236.49,8.6,0,2,0
1.314,0,243.51,5.4,0,0,18
0.74,0.046,238.91,3,0,0,0
1.35,0.048,248.69,5.4,0,0,19
0.358,0.09,245.22,1.6,0,2,0
0.634,0.238,240.63,3.4,6,0,1
0.584,0.298,241.86,2.6,0,1,0
0.132,0,244.62,0.6,0,0,0
1.19,0,239.08,4.8,0,0,19
0.212,0,247.81,0.8,0,0,0
1.42,0.092,240.47,5.8,0,1,19
0.352,0.23,241.36,1.8,0,1,1
0.41,0.204,245.97,1.8,0,2,1
0.514,0.324,244.62,2.4,0,1,0
1.34,0.078,235.32,5.6,0,0,17
0.328,0,237.63,1.6,0,0,1
0.304,0.234,242.2,1.6,0,0,1
5.544,0.184,236.04,23.8,17,35,0
0.176,0.156,241.95,0.8,0,0,1
0.082,0,242.73,0.2,0,0,1
0.404,0.228,242.18,1.8,0,1,1
0.43,0.05,243.5,1.8,0,1,0
0.364,0.198,249.8,1.6,0,1,0
0.324,0.22,242.96,1.6,0,1,0
0.362,0.2,244.26,1.6,0,1,0
1.634,0.196,242.37,6.8,0,0,13
1.496,0.112,243.26,6.2,0,0,19
1.212,0.134,248.75,4.8,0,1,1
0.304,0.068,240.46,1.2,0,0,0
0.532,0.206,241.59,2.4,0,0,1
1.098,0.32,240.96,4.8,0,0,13
0.112,0,242.87,0.4,0,0,0
1.83,0.252,236.86,8,0,0,1
0.282,0.124,237.32,1.4,0,0,0
2.734,0.384,237.27,11.6,0,36,1
0.352,0.096,242.99,1.6,0,2,0
0.348,0.158,243.93,1.6,0,0,0
0.234,0.128,239.17,1,0,0,1
0.378,0.106,246.99,1.6,0,0,0
0.168,0,240.71,0.8,0,0,0
0.36,0.066,241.37,1.6,0,0,0
1.476,0.09,242.36,6,0,0,20
1.396,0,241.46,5.8,0,0,17
0.266,0,244.46,1.2,0,0,0
0.256,0,247.34,1,0,0,1
1.41,0.184,243.19,5.8,0,0,0
0.292,0.112,242.94,1.4,0,0,1
2.498,0.47,241.19,10.8,0,0,18
0.438,0.216,240.36,2,0,1,1
0.72,0.328,241.3,3.2,0,0,1
0.364,0,240.12,1.6,0,0,0
1.684,0,241.32,7,0,0,18
1.462,0.27,241.42,6,0,0,18
0.39,0.088,239.79,1.8,0,0,0
2.122,0,244.33,8.6,0,1,18
1.668,0,236.49,7,0,0,17
0.218,0.098,240.83,1,0,1,0
2.406,0,238.72,10,0,1,17
0.264,0.058,242.03,1.2,0,0,0
1.15,0.196,238.63,4.8,1,2,1
0.348,0.224,240.97,1.6,0,1,1
1.35,0.048,245.62,5.4,0,0,18
0.322,0.094,243.78,1.4,0,0,0
2.496,0.278,241.81,10.4,0,1,0
0.392,0.206,241.42,1.8,0,0,0
1.726,0.356,243.01,7.2,0,1,18
0.156,0,240.45,0.6,0,0,0
3.496,0.226,238.18,14.6,0,1,18
1.376,0.208,240.86,5.8,0,1,18
2.296,0.14,239.92,9.6,0,2,18
0.392,0.098,240.96,1.6,0,0,0
0.358,0.194,241.78,1.6,0,0,0
0.216,0,239.67,1,0,0,0
0.34,0.098,240.98,1.4,0,0,1
0.206,0,239.98,0.8,0,0,0
1.418,0.206,237.56,6,0,1,17
0.794,0,241.12,3.2,0,0,1
0.588,0.248,236.13,2.6,0,0,0
1.294,0.058,243.42,5.2,0,0,18
0.2,0.08,238.04,1,0,0,1
1.76,0.432,237.43,7.6,1,0,18
1.506,0.314,239,6.4,1,1,18
1.428,0.228,242.13,5.8,0,0,1
4.698,0.334,237.37,19.8,38,1,0
0.32,0.18,239.42,1.4,0,1,1
2.62,0.188,238.31,11.6,0,0,0
3.57,0.072,242.42,15,31,0,18
0.56,0,247.27,2.4,0,0,0
0.178,0,235.02,0.8,0,0,1
0.382,0.094,242.65,1.6,0,0,1
0.174,0.12,241.65,1,0,0,1
0.368,0.232,243.24,1.8,0,0,1
0.218,0.104,241.09,1,0,1,1
3.21,0.104,240.45,13.2,0,1,18
0.422,0.214,243.94,2,0,0,1
0.638,0.164,243.19,2.6,0,1,0
1.382,0.06,241.53,5.6,2,0,18
1.834,0.188,241.67,7.6,0,2,18
1.34,0.064,240.81,5.6,0,0,18
3.014,0.072,236.48,13.2,28,1,17
2.93,0.258,242.67,12,0,39,1
3.79,0.154,238.87,15.8,0,38,18
0.362,0.114,243.39,1.6,0,0,0
1.712,0.046,241.12,7,0,0,19
1.354,0,243.16,5.6,0,0,0
0.144,0,243.15,0.6,0,0,0
0.286,0.198,232.78,1.4,0,0,0
0.656,0.06,244.28,2.6,0,0,0
0.366,0.222,241.78,1.8,0,0,1
1.18,0,238.18,4.8,0,0,18
0.388,0.246,241.95,1.8,0,1,0
1.804,0.11,239.55,7.4,0,1,1
0.382,0.192,239.3,1.8,0,1,0
0.382,0.236,239.98,1.8,0,1,0
0.288,0.082,241.48,1.2,0,0,0
2.472,0.078,234.13,10.4,0,0,17
0.728,0.2,241.94,3.2,0,0,0
1.352,0.096,239.94,5.6,0,2,18
0.14,0,240.11,0.6,0,0,1
2.474,0.362,234.97,10.6,0,0,17
1.444,0.17,238.96,6,0,0,17
0.39,0.356,238.85,2.2,0,1,1
0.98,0.132,242.63,4,0,1,0
1.934,0.088,240.03,8.2,0,0,0
0.392,0.178,243.52,1.8,0,1,0
1.776,0.174,238.49,7.4,1,1,18
4.44,0.082,238.25,18.6,38,0,17
0.224,0,246.39,1,0,0,0
1.854,0,239.04,7.6,0,0,18
2.154,0,238.65,9,0,0,18
1.662,0.088,239.43,7.2,0,1,18
0.528,0,239.42,2.2,0,0,0
0.26,0.154,242.04,1.2,0,0,0
0.462,0,241.88,2.2,0,0,0
0.278,0.094,237.52,1.2,0,0,0
0.374,0.084,242.11,1.6,0,0,0
0.276,0.178,234.28,1.4,0,0,0
0.22,0.056,245.16,1,0,0,0
2.314,0.288,242.94,9.6,0,0,19
0.308,0.21,240.67,1.6,0,2,0
1.71,0.154,240.09,7,0,0,19
3.618,0.086,238.69,15,0,0,18
0.586,0.392,241.8,2.8,0,1,1
0.238,0.048,240.55,1,0,0,0
0.114,0,242.14,0.4,0,0,0
0.202,0,239.3,0.8,0,0,0
1.63,0.07,239.03,6.8,0,0,18
1.586,0.162,243.4,6.4,0,0,18
1.802,0.064,241.6,7.4,0,0,18
1.322,0.082,239.73,5.4,0,0,18
1.384,0.088,239.72,5.8,0,0,17
0.244,0,242.68,1,0,0,0
0.368,0.086,243.02,1.6,0,0,0
0.266,0,240.52,1,0,0,0
0.312,0.238,241.08,1.6,0,2,0
1.404,0.082,242.24,5.8,0,0,19
1.402,0,244.52,5.6,0,0,19
0.29,0,246.88,1.4,0,0,1
1.366,0.074,241.59,5.6,0,0,18
1.298,0.104,239.61,5.4,0,0,18
0.282,0,242.03,1.2,0,0,1
0.216,0,243.83,0.8,0,0,0
0.402,0,249.63,1.6,0,0,0
2.72,0,239.43,11.8,0,0,17
0.352,0.106,242.74,1.4,0,1,1
0.214,0,238.26,1,0,0,0
1.638,0.056,241.04,6.8,0,0,18
0.256,0.116,239.95,1.2,0,0,1
0.38,0.134,242.03,1.6,0,0,0
0.15,0,239.35,0.6,0,0,0
0.49,0.094,240.17,2,0,0,0
2.578,0,239.1,10.8,0,2,18
0.258,0,243.26,1,0,0,1
1.966,0.088,237.18,8.4,0,0,18
0.65,0.278,241.46,3,0,0,0
0.688,0,248.87,2.6,2,0,0
0.664,0.074,234.28,2.8,0,0,0
0.416,0.088,239.07,2,0,0,0
0.928,0.24,240.73,4,0,4,1
1.338,0,242.63,5.4,0,0,19
0.326,0.242,240.96,1.6,0,2,1
0.622,0,243.13,2.6,0,0,1
1.518,0.282,238.39,6.4,0,1,17
1.476,0.176,238.14,6.2,0,0,17
0.39,0.13,243.43,1.6,0,0,1
0.25,0,241.13,1,0,0,0
2.044,0.124,240,8.4,0,0,19
0.418,0.208,243.66,2,0,0,0
3.934,0.356,238.64,16.4,0,38,18
0.248,0.25,239.19,1.4,0,0,0
0.214,0,246.39,0.8,0,0,0
3.224,0.222,237.38,13.8,1,19,18
1.3,0.086,239.92,5.4,0,0,18
0.222,0,246.98,0.8,0,0,0
1.302,0,239.44,5.4,0,0,19
0.29,0.052,235.46,1.2,0,0,0
1.108,0.106,240.76,4.6,0,2,0
1.4,0.07,243.48,5.6,0,0,18
1.268,0.074,242.13,5.2,0,0,0
0.394,0.384,242.38,2.2,0,1,1
1.902,0.096,241.7,7.8,0,0,19
0.214,0,241.5,0.8,0,0,0
3.098,0.234,237.62,13.2,0,22,1
0.114,0,237.16,0.6,0,0,0
0.236,0,241.34,1,0,0,0
1.83,0.206,240.89,7.6,0,0,19
1.416,0.124,244.36,5.8,0,1,19
0.498,0.156,243.45,2,0,0,0
2.732,0.1,241.9,11.2,38,0,0
1.224,0,243.03,5,0,0,18
0.252,0,244.75,1,0,0,0
0.192,0.07,240.42,0.8,0,0,0
1.334,0,247.63,5.4,0,0,0
0.234,0.092,240.87,1,0,0,1
0.958,0,237.11,4,0,0,0
0.684,0.098,241.76,2.8,0,0,1
0.316,0.22,241.23,1.6,0,1,0
0.41,0.21,241.18,2,0,2,0
1.612,0.058,240.86,6.6,0,0,18
0.226,0.056,244.66,1,0,0,0
0.814,0.082,241.11,3.4,0,0,1
0.312,0.116,245.4,1.2,0,1,0
0.38,0.114,249.41,1.6,0,0,0
1.676,0.28,240.4,7,0,1,19
0.136,0,241.16,0.6,0,0,0
0.4,0.192,246.29,1.8,0,0,0
0.318,0.112,242.34,1.4,0,0,0
0.896,0,239.03,3.8,0,0,1
1.994,0.164,241.6,8.2,0,0,0
2.286,0.078,246.42,9.2,0,0,0
0.344,0,240.32,1.4,0,0,0
0.302,0,244.26,1.2,0,0,1
0.728,0,244.65,3,0,0,1
1.668,0.086,238.59,7,1,0,0
0.328,0.088,242.17,1.4,0,0,0
1.482,0.506,231.78,7.6,0,1,0
1.328,0.05,242.67,5.4,0,0,18
0.256,0.274,241.32,1.4,0,1,1
0.286,0.206,243.15,1.4,0,1,0
0.302,0.052,246.21,1.4,0,0,0
0.304,0.234,240.71,1.6,0,0,1
0.286,0,249.26,1.2,0,0,0
0.236,0,248.3,1,0,0,0
1.632,0.058,238.07,6.8,1,0,1
1.218,0,239.73,5,0,0,18
0.28,0.05,245,1.4,0,0,0
0.366,0.066,237.01,1.6,0,1,0
0.298,0,240.13,1.4,0,0,1
3.038,0.45,236.48,13,0,0,17
0.216,0.102,239.63,1,0,0,0
1.622,0,241.02,6.6,0,1,18
0.912,0.246,242.41,3.8,0,0,12
1.434,0,239.6,6,0,1,19
1.956,0,240.08,8,0,0,18
1.38,0,244.51,5.6,0,0,18
1.652,0.266,240.05,7,0,1,19
1.16,0.444,239.73,5.2,0,2,11
2.024,0.156,235.5,8.6,0,0,28
0.21,0.092,236.66,1,0,0,0
1.772,0.166,237.84,7.4,0,0,0
0.244,0,242.71,1,0,0,0
0.902,0.39,241.79,4,0,0,0
4.552,0.136,237.24,19.2,38,0,18
1.42,0,246.91,5.6,0,0,19
0.214,0,239.12,1,0,0,0
0.202,0.114,242.21,1,0,0,0
1.516,0.154,241.34,6.2,1,0,18
0.272,0.108,240.12,1.2,0,0,0
0.256,0.134,241.69,1.2,0,0,1
0.252,0.13,240.96,1.2,0,2,1
0.324,0.206,240.33,1.6,0,0,1
6.888,0.136,231.11,30.2,0,34,16
1.486,0.18,247.06,6,0,2,19
0.452,0.102,241.63,2,0,0,1
1.258,0.046,238.97,5.2,0,0,17
0.474,0.344,242.14,2.4,0,2,0
4.816,0.104,240.36,20,0,0,0
0.288,0.138,243.11,1.4,0,0,1
1.382,0.056,242,5.6,0,0,19
3.908,0,237.95,16.4,0,23,18
0.248,0.106,238.94,1,0,0,0
3.476,0.22,243.6,14.8,0,25,18
0.88,0,242.94,3.6,0,0,0
1.11,0.086,243.07,4.6,0,0,1
0.326,0.068,245.04,1.4,0,0,1
0.478,0.256,247.13,2.2,0,0,1
1.19,0.262,242.63,5,0,0,11
0.252,0.062,246.18,1.2,0,0,0
0.254,0.116,240.19,1.4,0,0,1
0.334,0,244.12,1.6,0,0,0
1.524,0,242.19,6.2,0,0,18
1.182,0,232.38,5,0,0,17
0.338,0.1,244,1.4,0,0,1
1.34,0.106,241.66,5.4,0,2,19
0.332,0,242.64,1.4,0,0,0
0.94,0.306,241.62,4,0,0,12
0.29,0.094,240.89,1.2,0,0,1
0.244,0.072,242.34,1,0,0,1
0.132,0,243.82,0.6,0,0,0
0.406,0.208,243.03,1.8,0,1,1
0.28,0,240,1.2,0,0,0
0.81,0.164,241.63,3.4,0,0,1
1.682,0,236.46,7,0,0,17
0.252,0.048,242.13,1,0,0,1
1.61,0.21,241.12,6.6,2,0,19
1.32,0,240.53,5.4,0,0,19
0.25,0.11,242.14,1,0,1,1
3.222,0.286,241.56,14,1,23,18
0.266,0.066,240.61,1,0,0,0
0.154,0.118,237.97,0.8,0,0,1
2.334,0,244.95,9.4,0,0,19
1.26,0.118,240.59,5.2,0,0,1
1.384,0,238.99,5.8,0,0,17
1.5,0.104,242.03,6.2,0,0,18
0.254,0,241.73,1.2,0,0,1
1.494,0.09,248.14,6,0,2,19
0.236,0.08,234.72,1,0,0,0
0.282,0.21,241.35,1.4,0,0,0
0.324,0.124,242.72,1.4,0,0,0
0.156,0,241.4,0.6,0,0,1
0.298,0.07,234.77,1.2,0,0,0
0.238,0.244,240.78,1.4,0,1,1
0.248,0.176,236.4,1.2,0,1,0
0.236,0.082,240.84,1,0,0,0
0.278,0.078,241.17,1.2,0,2,0
2.928,0.056,240.4,12.2,1,0,19
3.28,0.26,240.83,13.8,0,28,18
0.256,0.124,242.35,1.2,0,0,1
0.222,0.092,242.55,1,0,0,1
0.32,0,241.22,1.4,0,0,0
0.258,0.122,241.5,1.2,0,0,1
3.776,0.496,241.13,15.8,1,0,24
0.15,0,243.75,0.6,0,0,1
0.25,0,239.92,1,0,0,1
0.154,0,239.92,0.6,0,0,0
0.292,0.212,238.99,1.4,0,0,1
1.228,0.09,231.36,5.2,0,0,16
2.442,0.126,241.09,10,0,0,0
0.312,0.052,245.95,1.4,0,0,1
1.106,0.16,238.05,4.6,0,0,1
1.462,0.21,239.9,6,0,1,18
0.732,0.312,235.33,3.4,0,1,1
0.422,0.126,243.4,1.8,0,0,1
0.226,0.052,245.99,1,0,0,0
1.432,0.096,244.59,5.8,0,0,18
0.55,0.102,243.83,2.6,0,0,0
0.948,0.232,240.9,4,0,0,12
1.608,0.222,242.07,6.6,1,0,19
2.422,0.238,239.32,10.6,4,0,18
2.554,0,235.14,10.8,0,0,0
1.042,0.356,238.85,4.6,0,1,0
