date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
21/11/2018 08:30,50.08,31.97,0,84.29,100,Weekday,Wednesday,Light_Load
22/12/2018 03:15,3.82,2.84,0.07,80.25,99.98,Weekend,Saturday,Light_Load
05/07/2018 19:30,57.85,22.5,0,93.2,100,Weekday,Thursday,Medium_Load
05/12/2018 08:15,27.65,17.17,0.11,84.95,100,Weekday,Wednesday,Light_Load
08/05/2018 03:45,3.02,3.74,0,62.82,100,Weekday,Tuesday,Light_Load
25/12/2018 03:45,3.28,2.41,0.07,80.59,99.98,Weekday,Tuesday,Light_Load
06/07/2018 18:15,60.44,33.73,0.61,87.32,99.99,Weekday,Friday,Medium_Load
02/01/2018 00:15,3.2,3.1,0,71.82,100,Weekday,Tuesday,Light_Load
16/04/2018 18:15,37.87,14.72,0.65,93.21,99.99,Weekday,Monday,Medium_Load
23/08/2018 14:30,40.07,8.1,0,98.02,100,Weekday,Thursday,Maximum_Load
28/08/2018 23:00,3.13,4.9,0,53.83,100,Weekday,Tuesday,Medium_Load
26/02/2018 00:30,3.82,3.31,0,75.58,100,Weekday,Monday,Light_Load
21/12/2018 11:45,57.85,23.98,0,92.38,100,Weekday,Friday,Maximum_Load
18/10/2018 17:30,47.41,29.12,0,85.21,100,Weekday,Thursday,Medium_Load
22/11/2018 04:45,3.2,3.17,0,71.04,100,Weekday,Thursday,Light_Load
28/08/2018 07:15,2.52,4.36,0,50.04,100,Weekday,Tuesday,Light_Load
28/07/2018 10:00,47.23,13.21,0,96.3,100,Weekend,Saturday,Medium_Load
16/07/2018 06:00,2.81,5.04,0,48.7,100,Weekday,Monday,Light_Load
16/05/2018 02:00,3.82,4.86,0,61.8,100,Weekday,Wednesday,Light_Load
22/12/2018 15:30,3.53,0,14.15,100,24.21,Weekend,Saturday,Light_Load
21/07/2018 09:45,43.49,23.87,0,87.66,100,Weekend,Saturday,Medium_Load
02/09/2018 05:15,3.17,6.12,0,45.99,100,Weekend,Sunday,Light_Load
02/09/2018 01:15,2.74,4.9,0,48.81,100,Weekend,Sunday,Light_Load
12/02/2018 07:30,5.33,5.04,0,72.66,100,Weekday,Monday,Light_Load
13/03/2018 13:15,53.75,16.24,2.66,95.73,99.88,Weekday,Tuesday,Maximum_Load
24/01/2018 17:30,65.16,17.64,0,96.53,100,Weekday,Wednesday,Maximum_Load
27/01/2018 11:30,30.85,7.49,0,97.18,100,Weekend,Saturday,Maximum_Load
03/05/2018 04:00,3.13,4,0,61.63,100,Weekday,Thursday,Light_Load
08/05/2018 11:00,80.14,35.82,0,91.3,100,Weekday,Tuesday,Maximum_Load
28/08/2018 04:45,2.63,4.07,0,54.27,100,Weekday,Tuesday,Light_Load
06/11/2018 22:00,3.85,0,17.32,100,21.7,Weekday,Tuesday,Medium_Load
12/06/2018 16:00,63.61,18.36,0,96.08,100,Weekday,Tuesday,Maximum_Load
05/04/2018 12:00,48.38,28.01,0,86.54,100,Weekday,Thursday,Maximum_Load
25/08/2018 20:00,2.88,0,13.54,100,20.8,Weekend,Saturday,Light_Load
29/01/2018 16:45,129.13,46.58,0,94.07,100,Weekday,Monday,Medium_Load
12/09/2018 09:30,41.69,21.17,0,89.16,100,Weekday,Wednesday,Medium_Load
11/09/2018 17:30,75.82,43.56,0,86.71,100,Weekday,Tuesday,Medium_Load
05/05/2018 05:30,3.53,4.54,0,61.38,100,Weekend,Saturday,Light_Load
07/11/2018 11:15,49,27.72,0,87.04,100,Weekday,Wednesday,Maximum_Load
01/06/2018 19:30,4.97,0,25.56,100,19.09,Weekday,Friday,Medium_Load
28/11/2018 09:45,58.97,25.85,0,91.59,100,Weekday,Wednesday,Medium_Load
23/05/2018 00:15,3.2,5.22,0,52.26,100,Weekday,Wednesday,Light_Load
29/01/2018 14:00,117.07,46.44,0,92.95,100,Weekday,Monday,Medium_Load
24/03/2018 06:45,3.49,4.86,0,58.33,100,Weekend,Saturday,Light_Load
09/09/2018 13:30,21.1,2.52,2.92,99.29,99.06,Weekend,Sunday,Maximum_Load
19/08/2018 02:15,2.74,4.68,0,50.52,100,Weekend,Sunday,Light_Load
06/12/2018 07:30,3.46,2.56,0.04,80.39,99.99,Weekday,Thursday,Light_Load
25/03/2018 20:00,5,0,26.46,100,18.57,Weekend,Sunday,Medium_Load
25/06/2018 04:00,2.84,4.68,0,51.88,100,Weekday,Monday,Light_Load
27/01/2018 20:45,4.39,0,17.17,100,24.77,Weekend,Saturday,Medium_Load
21/12/2018 22:30,5.26,3.31,0,84.64,100,Weekday,Friday,Maximum_Load
14/05/2018 08:45,58.1,52.96,0,73.9,100,Weekday,Monday,Light_Load
14/08/2018 01:00,2.81,5.26,0,47.12,100,Weekday,Tuesday,Light_Load
25/10/2018 11:00,67.43,44.5,0,83.46,100,Weekday,Thursday,Maximum_Load
23/02/2018 17:00,60.3,22.1,0,93.89,100,Weekday,Friday,Medium_Load
22/02/2018 06:45,5,4.82,0,71.99,100,Weekday,Thursday,Light_Load
24/05/2018 09:45,99.58,38.99,0,93.12,100,Weekday,Thursday,Medium_Load
19/04/2018 23:45,3.53,3.2,0,74.09,100,Weekday,Thursday,Light_Load
18/01/2018 09:45,70.06,27.47,0,93.1,100,Weekday,Thursday,Medium_Load
14/01/2018 07:00,3.96,3.64,0,73.62,100,Weekend,Sunday,Light_Load
29/11/2018 22:30,4.14,5.47,0,60.35,100,Weekday,Thursday,Maximum_Load
09/12/2018 21:45,3.38,0,14.62,100,22.52,Weekend,Sunday,Light_Load
01/07/2018 08:00,3.06,3.67,0,64.04,100,Weekend,Sunday,Light_Load
29/10/2018 16:45,101.27,47.59,0,90.5,100,Weekday,Monday,Maximum_Load
14/01/2018 11:00,14,0,21.82,100,54,Weekend,Sunday,Maximum_Load
02/06/2018 11:15,6.26,0,6.77,100,67.89,Weekend,Saturday,Light_Load
23/04/2018 07:30,3.89,3.89,0,70.71,100,Weekday,Monday,Light_Load
17/12/2018 21:15,4.43,0,21.13,100,20.52,Weekday,Monday,Medium_Load
11/12/2018 02:15,4.28,3.67,0.04,75.91,100,Weekday,Tuesday,Light_Load
05/11/2018 04:45,2.92,4.32,0,56,100,Weekday,Monday,Light_Load
12/07/2018 16:00,51.73,17.53,0,94.71,100,Weekday,Thursday,Maximum_Load
28/05/2018 14:45,54.11,27.22,0,89.33,100,Weekday,Monday,Maximum_Load
03/10/2018 06:30,3.49,7.85,0,40.62,100,Weekday,Wednesday,Light_Load
17/04/2018 14:00,94,36.5,0,93.22,100,Weekday,Tuesday,Maximum_Load
18/06/2018 21:30,3.85,0,23.04,100,16.48,Weekday,Monday,Medium_Load
01/02/2018 19:30,92.84,40.79,0,91.55,100,Weekday,Thursday,Maximum_Load
09/02/2018 08:15,57.56,35.35,0,85.21,100,Weekday,Friday,Light_Load
17/11/2018 05:30,3.17,4.32,0,59.16,100,Weekend,Saturday,Light_Load
09/09/2018 08:30,5.76,10.22,0,49.1,100,Weekend,Sunday,Light_Load
17/01/2018 10:00,67.18,19.94,0,95.87,100,Weekday,Wednesday,Medium_Load
31/12/2018 05:15,3.56,2.74,0.14,79.25,99.92,Weekday,Monday,Light_Load
10/04/2018 19:00,48.17,15.52,0,95.18,100,Weekday,Tuesday,Medium_Load
25/12/2018 21:30,4.03,0,20.45,100,19.33,Weekday,Tuesday,Light_Load
07/08/2018 22:45,3.06,5.4,0,49.3,100,Weekday,Tuesday,Medium_Load
05/10/2018 04:30,3.38,6.41,0,46.64,100,Weekday,Friday,Light_Load
15/12/2018 10:30,3.35,0,15.05,100,21.73,Weekend,Saturday,Light_Load
21/11/2018 03:30,2.88,1.94,0.25,82.94,99.63,Weekday,Wednesday,Light_Load
21/02/2018 09:15,60.59,14.98,0,97.08,100,Weekday,Wednesday,Medium_Load
09/06/2018 08:15,3.13,5.47,0,49.67,100,Weekend,Saturday,Light_Load
26/11/2018 08:30,88.92,65.88,0,80.35,100,Weekday,Monday,Light_Load
25/12/2018 16:30,3.42,0,14,100,23.73,Weekday,Tuesday,Light_Load
27/12/2018 19:30,47.99,7.42,0.25,98.83,100,Weekday,Thursday,Maximum_Load
30/05/2018 20:45,68.8,26.39,0,93.37,100,Weekday,Wednesday,Medium_Load
22/11/2018 10:15,139.57,58.9,0,92.13,100,Weekday,Thursday,Maximum_Load
03/01/2018 18:00,73.62,13.25,1.69,98.42,99.97,Weekday,Wednesday,Maximum_Load
15/08/2018 04:30,2.66,4.32,0,52.43,100,Weekday,Wednesday,Light_Load
08/10/2018 02:30,2.66,5.18,0,45.68,100,Weekday,Monday,Light_Load
23/03/2018 06:30,3.24,3.96,0,63.32,100,Weekday,Friday,Light_Load
14/01/2018 10:15,15.01,0.04,13.5,100,74.35,Weekend,Sunday,Maximum_Load
19/08/2018 23:15,2.63,4.54,0,50.13,100,Weekend,Sunday,Light_Load
09/06/2018 17:45,3.13,0,16.42,100,18.72,Weekend,Saturday,Light_Load
19/08/2018 18:45,2.66,0,9.94,100,25.85,Weekend,Sunday,Light_Load
26/09/2018 05:45,2.63,5.36,0,44.05,100,Weekday,Wednesday,Light_Load
15/04/2018 08:15,3.17,4.54,0,57.25,100,Weekend,Sunday,Light_Load
20/11/2018 01:00,3.6,3.74,0,69.35,100,Weekday,Tuesday,Light_Load
27/06/2018 19:00,3.71,0,26.1,100,14.07,Weekday,Wednesday,Medium_Load
02/03/2018 21:15,40.68,7.38,0.36,98.39,100,Weekday,Friday,Medium_Load
25/08/2018 13:00,3.38,0,13.14,100,24.91,Weekend,Saturday,Light_Load
19/02/2018 13:15,61.67,22.43,1.73,93.98,99.96,Weekday,Monday,Medium_Load
08/02/2018 06:30,4.93,6.26,0,61.87,100,Weekday,Thursday,Light_Load
02/05/2018 01:45,4,5.47,0,59.03,100,Weekday,Wednesday,Light_Load
08/11/2018 22:30,3.78,6.8,0,48.59,100,Weekday,Thursday,Maximum_Load
18/06/2018 12:15,12.49,3.02,12.92,97.2,69.5,Weekday,Monday,Medium_Load
04/08/2018 22:15,3.06,1.08,5.22,94.3,50.57,Weekend,Saturday,Light_Load
05/10/2018 06:00,3.02,5.65,0,47.14,100,Weekday,Friday,Light_Load
16/06/2018 00:00,2.99,5.22,0,49.7,100,Weekend,Saturday,Light_Load
24/09/2018 07:15,2.66,5.69,0,42.35,100,Weekday,Monday,Light_Load
08/01/2018 21:45,5.18,0,25.99,100,19.55,Weekday,Monday,Medium_Load
03/12/2018 01:30,3.35,2.48,0,80.37,100,Weekday,Monday,Light_Load
02/02/2018 22:15,42.05,13.14,0.43,95.45,99.99,Weekday,Friday,Maximum_Load
06/12/2018 11:15,60.88,31.57,0,88.77,100,Weekday,Thursday,Maximum_Load
29/12/2018 22:45,3.13,2.77,0,74.89,100,Weekend,Saturday,Light_Load
01/10/2018 09:30,55.01,31.75,0,86.61,100,Weekday,Monday,Medium_Load
01/10/2018 11:00,55.84,31.25,0,87.26,100,Weekday,Monday,Maximum_Load
14/12/2018 11:45,88.85,36.76,0,92.4,100,Weekday,Friday,Maximum_Load
30/04/2018 19:00,3.78,0,25.88,100,14.45,Weekday,Monday,Medium_Load
02/02/2018 12:45,9.68,0,25.34,100,35.69,Weekday,Friday,Medium_Load
24/03/2018 10:15,33.52,0.58,3.24,99.99,99.54,Weekend,Saturday,Maximum_Load
07/01/2018 10:45,3.56,0,17.28,100,20.18,Weekend,Sunday,Light_Load
01/06/2018 08:30,51.19,48.92,0,72.3,100,Weekday,Friday,Light_Load
07/05/2018 02:30,2.99,4.36,0,56.56,100,Weekday,Monday,Light_Load
22/10/2018 03:45,2.92,5.72,0,45.47,100,Weekday,Monday,Light_Load
12/04/2018 09:30,104.54,47.95,0,90.89,100,Weekday,Thursday,Medium_Load
25/11/2018 09:15,4.93,0,20.2,100,23.71,Weekend,Sunday,Light_Load
20/05/2018 05:30,3.06,5.76,0,46.92,100,Weekend,Sunday,Light_Load
06/11/2018 18:45,52.81,28.22,0,88.2,100,Weekday,Tuesday,Maximum_Load
02/09/2018 20:00,2.88,0,12.24,100,22.9,Weekend,Sunday,Medium_Load
16/12/2018 15:45,48.42,16.27,0,94.79,100,Weekend,Sunday,Medium_Load
17/07/2018 09:15,58.64,44.46,0,79.69,100,Weekday,Tuesday,Medium_Load
02/08/2018 19:15,2.95,0,16.45,100,17.65,Weekday,Thursday,Light_Load
22/11/2018 03:45,3.2,3.13,0,71.49,100,Weekday,Thursday,Light_Load
29/03/2018 22:45,3.6,5.04,0,58.12,100,Weekday,Thursday,Medium_Load
15/03/2018 10:30,125.1,50.22,0,92.8,100,Weekday,Thursday,Maximum_Load
25/06/2018 01:00,2.95,4.68,0,53.32,100,Weekday,Monday,Light_Load
25/09/2018 08:45,2.48,2.05,2.27,77.08,73.76,Weekday,Tuesday,Light_Load
13/07/2018 21:45,3.82,0,16.34,100,22.76,Weekday,Friday,Medium_Load
04/05/2018 14:30,58.25,27.25,0,90.58,100,Weekday,Friday,Maximum_Load
24/05/2018 12:15,5,0,18.18,100,26.52,Weekday,Thursday,Medium_Load
18/10/2018 20:45,42.77,17.86,0,92.28,100,Weekday,Thursday,Medium_Load
05/11/2018 14:30,68.47,44.28,0,83.97,100,Weekday,Monday,Medium_Load
25/11/2018 20:00,3.1,0,15.95,100,19.08,Weekend,Sunday,Light_Load
05/02/2018 04:45,4.43,4.61,0,69.29,100,Weekday,Monday,Light_Load
12/04/2018 23:45,4.07,5.87,0,56.98,100,Weekday,Thursday,Light_Load
09/11/2018 18:30,58.79,33.62,0,86.81,100,Weekday,Friday,Maximum_Load
21/01/2018 15:30,5.15,0,25.7,100,19.65,Weekend,Sunday,Light_Load
14/06/2018 09:15,59.76,16.96,0,96.2,100,Weekday,Thursday,Medium_Load
18/10/2018 22:30,4.97,9.22,0,47.45,100,Weekday,Thursday,Medium_Load
19/05/2018 10:45,56.74,24.62,0,91.74,100,Weekend,Saturday,Maximum_Load
24/03/2018 12:15,6.34,0.86,13.75,99.09,41.87,Weekend,Saturday,Medium_Load
20/02/2018 05:45,5.8,5.26,0,74.07,100,Weekday,Tuesday,Light_Load
17/02/2018 17:15,3.92,0,20.74,100,18.57,Weekend,Saturday,Light_Load
22/08/2018 09:15,48.28,24.44,0,89.22,100,Weekday,Wednesday,Medium_Load
01/12/2018 17:30,4.75,0,21.1,100,21.96,Weekend,Saturday,Maximum_Load
19/04/2018 13:45,64.87,31.5,0,89.96,100,Weekday,Thursday,Maximum_Load
15/09/2018 03:15,2.7,5,0,47.51,100,Weekend,Saturday,Light_Load
11/04/2018 05:15,3.28,4.68,0,57.39,100,Weekday,Wednesday,Light_Load
29/03/2018 09:15,51.08,17.68,0,94.5,100,Weekday,Thursday,Medium_Load
20/04/2018 10:15,57.28,26.17,0,90.96,100,Weekday,Friday,Maximum_Load
24/11/2018 11:45,3.28,0,13.64,100,23.38,Weekend,Saturday,Light_Load
01/01/2018 03:30,3.31,3.74,0,66.27,100,Weekday,Monday,Light_Load
01/03/2018 00:30,5.33,5.8,0,67.66,100,Weekday,Thursday,Light_Load
28/09/2018 15:45,56.66,32.62,0,86.66,100,Weekday,Friday,Maximum_Load
03/07/2018 08:00,5.22,6.12,0,64.89,100,Weekday,Tuesday,Light_Load
23/06/2018 12:15,9.83,3.35,9.76,94.65,70.96,Weekend,Saturday,Medium_Load
19/04/2018 19:30,40.1,3.13,0.4,99.7,100,Weekday,Thursday,Medium_Load
19/11/2018 14:00,58.79,29.66,0,89.28,100,Weekday,Monday,Medium_Load
03/04/2018 16:00,67.36,33.98,0,89.28,100,Weekday,Tuesday,Maximum_Load
11/03/2018 16:30,30.35,0.54,2.02,99.98,99.78,Weekend,Sunday,Maximum_Load
19/04/2018 11:30,59.36,46.84,0,78.5,100,Weekday,Thursday,Maximum_Load
08/04/2018 09:30,90.58,19.87,0.5,97.68,100,Weekend,Sunday,Medium_Load
07/03/2018 23:45,3.06,2.38,0,78.94,100,Weekday,Wednesday,Light_Load
12/02/2018 22:15,32.69,9.07,4.39,96.36,99.11,Weekday,Monday,Maximum_Load
22/07/2018 02:30,3.31,0,4.5,100,59.25,Weekend,Sunday,Light_Load
01/12/2018 05:30,3.28,2.27,0.11,82.23,99.94,Weekend,Saturday,Light_Load
26/09/2018 07:30,2.56,5.51,0,42.14,100,Weekday,Wednesday,Light_Load
20/04/2018 08:30,48.92,46.26,0,72.66,100,Weekday,Friday,Light_Load
30/01/2018 21:00,71.42,12.49,0,98.51,100,Weekday,Tuesday,Medium_Load
17/01/2018 14:45,52.42,18.25,0,94.44,100,Weekday,Wednesday,Medium_Load
05/08/2018 20:15,3.13,0,16.6,100,18.53,Weekend,Sunday,Light_Load
23/11/2018 17:15,86.98,45.97,0,88.41,100,Weekday,Friday,Maximum_Load
22/09/2018 13:00,2.95,0,11.41,100,25.03,Weekend,Saturday,Light_Load
25/01/2018 20:00,69.16,21.38,0,95.54,100,Weekday,Thursday,Maximum_Load
03/10/2018 22:45,2.77,5.47,0,45.18,100,Weekday,Wednesday,Medium_Load
03/01/2018 22:00,5.18,0,26.78,100,18.99,Weekday,Wednesday,Medium_Load
12/08/2018 15:00,3.02,0,14.72,100,20.1,Weekend,Sunday,Light_Load
14/10/2018 20:15,3.06,0,12.64,100,23.53,Weekend,Sunday,Light_Load
09/09/2018 09:15,10.22,0.11,5.47,99.99,88.17,Weekend,Sunday,Medium_Load
27/11/2018 15:15,81.58,26.78,0,95.01,100,Weekday,Tuesday,Medium_Load
20/03/2018 09:30,68.51,30.53,0,91.34,100,Weekday,Tuesday,Medium_Load
08/03/2018 22:30,5.08,4.82,0,72.54,100,Weekday,Thursday,Medium_Load
27/05/2018 01:00,2.77,4.54,0,52.08,100,Weekend,Sunday,Light_Load
31/10/2018 23:45,3.92,5.29,0,59.54,100,Weekday,Wednesday,Light_Load
12/04/2018 02:15,3.53,4.57,0,61.13,100,Weekday,Thursday,Light_Load
06/06/2018 13:00,4.79,0,19.26,100,24.13,Weekday,Wednesday,Medium_Load
06/10/2018 09:45,41.69,22.28,0,88.2,100,Weekend,Saturday,Medium_Load
22/12/2018 12:00,3.6,0,13.68,100,25.45,Weekend,Saturday,Light_Load
02/01/2018 12:15,19.22,5.54,18.9,96.09,71.3,Weekday,Tuesday,Medium_Load
21/04/2018 04:00,3.1,3.64,0,64.84,100,Weekend,Saturday,Light_Load
09/09/2018 01:30,2.77,5.22,0,46.87,100,Weekend,Sunday,Light_Load
22/10/2018 14:45,92.56,52.16,0,87.12,100,Weekday,Monday,Maximum_Load
26/03/2018 17:30,55.87,26.89,0,90.11,100,Weekday,Monday,Medium_Load
06/05/2018 21:00,3.28,0,16.96,100,18.99,Weekend,Sunday,Light_Load
02/03/2018 13:45,90.86,15.52,0.14,98.57,100,Weekday,Friday,Maximum_Load
20/12/2018 11:00,77.51,43.7,0,87.11,100,Weekday,Thursday,Maximum_Load
26/09/2018 05:30,2.56,5.29,0,43.56,100,Weekday,Wednesday,Light_Load
25/04/2018 17:45,62.93,33.08,0,88.52,100,Weekday,Wednesday,Medium_Load
15/10/2018 03:30,2.74,5.11,0,47.26,100,Weekday,Monday,Light_Load
05/02/2018 09:30,71.39,25.2,0,94.3,100,Weekday,Monday,Medium_Load
25/11/2018 18:45,3.02,0,14.51,100,20.38,Weekend,Sunday,Light_Load
16/10/2018 09:30,110.52,49.18,0,91.36,100,Weekday,Tuesday,Medium_Load
16/09/2018 05:45,2.66,5.29,0,44.92,100,Weekend,Sunday,Light_Load
07/06/2018 23:30,3.35,4.43,0,60.32,100,Weekday,Thursday,Light_Load
25/05/2018 03:30,3.49,4,0,65.74,100,Weekday,Friday,Light_Load
19/04/2018 06:30,2.99,3.67,0,63.16,100,Weekday,Thursday,Light_Load
12/11/2018 22:30,4.97,8.68,0,49.69,100,Weekday,Monday,Maximum_Load
15/01/2018 08:30,84.92,69.7,0,77.3,100,Weekday,Monday,Light_Load
19/01/2018 16:45,95.26,32.15,0,94.75,100,Weekday,Friday,Medium_Load
07/05/2018 02:15,3.1,4.36,0,57.95,100,Weekday,Monday,Light_Load
29/07/2018 04:45,2.7,4.75,0,49.42,100,Weekend,Sunday,Light_Load
05/01/2018 11:15,129.85,63.86,0,89.74,100,Weekday,Friday,Maximum_Load
30/10/2018 05:00,2.95,4.03,0,59.07,100,Weekday,Tuesday,Light_Load
09/01/2018 19:00,114.8,40.25,0,94.37,100,Weekday,Tuesday,Maximum_Load
26/12/2018 13:00,6.41,0,21.1,100,29.07,Weekday,Wednesday,Medium_Load
06/07/2018 09:30,106.52,42.95,0,92.74,100,Weekday,Friday,Medium_Load
02/03/2018 01:00,3.28,2.59,0,78.48,100,Weekday,Friday,Light_Load
27/09/2018 05:00,3.17,6.48,0,43.94,100,Weekday,Thursday,Light_Load
15/09/2018 09:45,35.14,8.39,0,97.27,100,Weekend,Saturday,Medium_Load
27/03/2018 09:30,65.92,27.18,0,92.45,100,Weekday,Tuesday,Medium_Load
11/02/2018 12:45,4.21,0,17.78,100,23.04,Weekend,Sunday,Light_Load
12/12/2018 03:00,4.21,3.64,0.04,75.65,100,Weekday,Wednesday,Light_Load
04/08/2018 17:30,2.74,0,17.32,100,15.63,Weekend,Saturday,Light_Load
13/01/2018 11:30,95.33,47.27,0,89.59,100,Weekend,Saturday,Maximum_Load
12/06/2018 17:30,82.62,20.77,0.58,96.98,100,Weekday,Tuesday,Medium_Load
15/06/2018 23:30,3.42,4.25,0,62.69,100,Weekday,Friday,Light_Load
31/01/2018 18:15,59.69,19.98,0,94.83,100,Weekday,Wednesday,Maximum_Load
23/09/2018 22:00,2.81,0.04,10.69,99.99,25.42,Weekend,Sunday,Light_Load
23/08/2018 23:00,3.38,5.76,0,50.61,100,Weekday,Thursday,Medium_Load
