Temperature,Humidity,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
18.47,91.1,0.079,44655.8,28508.7,19392.6
13.66,65.01,0.087,34256.2,22030.4,16736.4
15.81,83.7,0.083,22097.6,12926.3,11112.7
19.6,67.65,0.073,38153.8,31805,20483.9
12.4,67.54,0.087,30387.8,21728.1,9334.93
22.79,62.78,0.07,48349.5,32449.4,35757.7
28.01,31.89,4.915,33903,23962,23901.6
26.6,73.1,4.91,36369.2,25496.5,22721
8.34,77.9,4.916,23827.7,19156.6,10502.2
14.41,85.7,0.072,25978.9,16097.4,12904.7
27.98,35.7,4.918,35151.7,23238.4,18002.9
13.84,71.4,0.083,22905.8,11799.4,13679.3
20.32,64.15,0.081,42875.8,25286.1,27323.1
22.17,89.6,0.329,27729.6,16694,14032.3
10.4,90.6,0.071,23467.1,13203.6,14455
22.27,51,0.077,32486.2,23950.4,17459.3
16.71,56.34,0.084,35402,18700.3,14848.6
21.28,84.5,0.283,27697.7,16881.1,12208.4
7.29,61.94,0.088,21648.8,12813.4,14373.9
14.32,85.7,0.069,21024.9,12167.4,11287.3
20.75,70.9,0.082,37893.7,30902.5,18704
12.96,85.8,0.07,33498.3,18725.8,18345.2
28.8,75.8,4.907,38971.1,29822.6,29413.9
13.98,69.28,0.072,36103.7,22570.2,16811.1
26.18,84.5,4.914,38670.6,27484.7,31189.5
26.1,31.29,0.079,31538.4,21302.8,16481.3
18.66,62.86,0.076,32898.5,28178.9,9172.05
21.64,51.43,0.084,32030.8,24887.6,12566.7
11.18,65.55,0.087,34231.9,21552.6,20830.8
28.09,78.2,4.902,42615,29503.3,33554.9
13.77,81.1,0.082,35013.4,21106.1,22465.2
23.88,65.26,4.926,34451.7,19167.6,14685.4
26.56,69.8,4.911,35650.8,26643,26859.9
14.42,89.9,0.069,42824.9,21684.3,28509.1
35.98,29.84,4.907,41512.8,29954.4,32553.6
21.62,77.7,4.915,36044.6,24444.1,10825.7
6.003,86.3,0.085,19746.8,13524.6,13827.5
9.86,69.39,0.085,33648.7,28525.3,14613.2
32.99,14.01,3.97,29788.3,20403.7,17530.7
27.96,33.64,4.907,32802,23911.3,26127.6
15.39,89.5,0.071,31397.9,17739.7,21009.5
25.51,51.27,0.072,35958.7,20600.8,18089.4
4.408,76.7,0.082,21466.3,13539.2,14319
13.75,70.4,0.074,30172.9,20276,19288.8
20.47,89.1,0.066,43371.7,26910.2,25491.7
27.35,35.41,4.91,39508.1,28359,31364
10.95,82.4,0.086,32340.7,26518.6,13529.9
15.47,68.49,4.914,32779.7,20126.4,15735.9
25.02,85.6,4.91,35806.6,25891.9,28011.5
27.56,45.12,4.924,27379.1,15436.6,13761.6
26.59,70.2,4.922,37385.8,25177.2,25112.6
8.89,85.9,0.085,22460.8,18274.3,10170.5
15.84,54.61,0.082,27512.5,16778.1,16706.9
24.46,58.32,0.07,35335.6,22180,17829.4
11.4,79.4,0.076,25699.4,15932.9,11223.9
16.37,68.79,0.077,42167.1,25645,25677.1
34.56,25.11,4.924,38527.6,26145.6,32222.3
14.04,62.57,0.082,25181.7,12601.8,13760.3
10.91,88.4,0.088,27145.5,17367.1,12391
20.41,76.9,4.919,22600.4,11986.3,9590.19
14.47,85.6,4.909,24185.9,13331.7,14603.2
27.25,50.17,0.068,35642.8,21926.9,18154.5
26.67,41.58,4.908,37328.1,27747,30413
17.53,47.63,0.082,33571.5,22121.6,17222.1
20.98,81.9,0.064,42774,25731.4,27145.8
18.66,44.41,0.085,35817.7,22205.5,16759.5
20.06,78,4.913,32795.4,20576.8,14391.2
23.47,61.55,4.921,27022.8,16218.7,12949.8
15.74,87.1,0.071,31664.5,17879,18042.2
14.97,68.97,0.072,22086.1,13404.3,14880
8.49,84.5,0.077,30063.8,20250.5,19575.9
21.58,52.96,0.087,33646.2,20838.2,10743.8
10.51,59.35,0.077,38010.6,32737.6,16716.4
12.22,71.7,0.086,32657,26433.9,9842.02
20.55,82,0.066,24680.3,13887.3,13363.2
8.07,86.1,0.089,22037.5,14235.9,14122.4
13.43,59.45,4.921,40779.6,23337.8,23928.4
28.87,40.51,4.905,41176.6,26994.3,23684
34.8,25.51,4.908,39210.1,28496.2,27486.5
11.7,75.7,0.082,27027.7,21057,14590.8
15.25,64.02,0.082,35884.1,27559.9,24290.4
22.58,48.35,0.076,33493.8,21029.3,15985.2
17.24,77,0.076,31027.7,25471.5,14862.7
24.58,56.15,4.919,34349.7,20746.8,12849.7
17.8,57.14,0.083,27169.6,21765,9939.98
14.09,71.2,0.081,22971.9,17482.7,10913.8
15.15,65.51,0.079,33506,20904.9,15816.8
18.53,85.3,4.918,24938.8,15960.5,10143.2
28.58,35.29,4.922,38400,23111.9,19979.8
18.21,52.15,0.078,27944.6,22752.9,9033.25
20.52,67.37,4.91,23996.8,15182.3,17093.2
12.35,75.8,0.083,23483.1,18543,12393.3
11.6,71.7,4.922,21059.2,12207.9,14162.9
10.61,89.3,0.067,27304.9,16474.4,11612.9
20.92,78.7,4.917,46526,31655.3,16809.3
29.54,61.12,4.904,40735.5,28157.6,27692.5
27.53,64.45,4.92,37404.8,23337.3,21378.8
15.49,60.48,0.095,40590.1,34685.5,16341.9
16.49,68.56,0.074,30941.4,25487.6,10274.2
19.27,57.47,4.917,38234.7,22962.2,23158.2
15.53,62.45,0.084,22795.9,13696,14373.9
21.37,41.51,4.918,29175.4,22143,10756.6
14.08,89,4.916,20509.4,12479.3,10243.2
22.43,77.9,4.918,44971.3,26524.7,19456.9
18.97,80.2,0.068,21261.5,16497.5,8836.63
20.75,64.81,0.071,28289.2,20785.5,17760
21.14,60.22,0.272,30087.1,17850.3,14673.6
31.26,14.04,4.905,37098,25880.5,28077.7
20.18,27.47,0.085,32285.9,26691.6,10014.9
18.9,54.41,0.08,24815.2,16870.6,11420.9
13.79,74.5,0.083,20694.7,13127.1,14330.6
10.41,87.9,0.074,25368.5,14432.9,15567.1
15.29,82.9,0.075,32299.7,21636.5,13376.4
25.57,33.6,0.081,35233.9,19818.7,16878.3
21.25,75.9,0.068,26078.9,14542.2,14320.2
11.41,70.6,0.09,39482.9,33632.4,16146
21.21,65.88,0.075,29372.3,23098.8,11294.5
17.33,76.8,0.071,36649.5,20569.9,19636.4
15.35,82,0.069,32901.3,21964.7,13515.2
13.14,65.28,0.08,22924.6,14301.5,15446.7
20.45,59.34,0.072,30344.6,25557,17690.6
13.82,81.5,0.08,22928.4,13479.8,14795.6
24.95,40.58,4.923,34125.2,20935.3,13515.9
23.56,75.4,4.92,39607.9,21266.9,24469.7
13.96,68.18,0.081,40133.8,34317.3,14970.5
20.38,62.79,0.095,33892,21222.8,15132.4
15.6,76.3,0.073,32881,20257.3,15828.4
23.51,67.8,0.069,34992.3,19766.3,17197.3
24.02,85.8,4.913,23875.6,16089.9,18316.3
27.18,53.8,4.922,31133.2,18699.8,22567.4
22.21,55.22,0.268,47551.9,28066.5,21604.4
27.16,48.37,4.923,44868,28230.4,35349.3
24.11,60.82,4.924,36433.3,21184.6,14338.2
8.99,63.3,4.917,23961.4,14122.8,14889.2
16.46,76.5,0.073,34727.4,20009,17902.5
16.52,74.3,0.071,34510.4,20507.5,18996.4
14.43,56.99,0.084,45053.2,29631.6,27626
12.15,83.6,0.072,25907.7,20744.6,10918.6
13.71,85.7,0.084,26735,16814.6,12042.6
26.08,62.28,0.068,50126.7,33593.7,40308
26.7,63.99,4.905,41036,30301.6,31905.7
21.01,41.65,4.91,26185.3,19851.3,15233.6
27.19,79.2,4.927,37072.4,22979.9,17881.9
9.64,87.4,0.087,23248.3,13613.4,14794.8
27.87,72.3,4.917,34662.1,22010.1,30005
25.83,54.65,4.929,48701.1,32069.3,35787.8
13.63,68.93,4.91,30691.5,18842.6,14680.8
16.25,73.8,0.072,33481.2,20258.2,18618.2
29.29,27.75,0.075,44657.3,24876.8,26059.9
15.25,58.11,0.079,30880.6,24633.3,9588.48
14.58,91,0.07,23089.6,10778,12677.8
21.84,84.2,4.916,48089,28017.9,33224.9
18.43,74.8,0.072,37015.4,29967.8,17031.3
22.99,75.9,4.92,38344.8,23242.8,15144.3
21.87,65.33,0.083,41662.3,34020.7,19649.4
14.09,90.5,0.07,25978.9,16222,12858.2
18.38,73.4,4.916,23957.5,13281.1,9519.59
22.37,53.52,4.906,32693.3,23246,17280
33.11,23.48,4.916,46902.9,30239.2,38867.9
8.96,92.7,0.082,22643.3,18635.2,8343.82
21.52,49.93,0.079,36259.7,22305.9,21833.2
24.95,41.57,0.072,31538.4,19326.3,18008.7
31.16,38.91,4.934,34918,20246.7,16636
15.16,63.61,0.081,32476.6,20315.9,15625.2
28.25,52.58,4.91,49907.2,31131.6,43332.6
14.69,55.07,0.082,21864.6,16824.8,9837.11
26.23,80.7,4.918,38018.6,25291.2,29498.2
20.29,51.4,0.089,33468.8,19591,18286.5
16.86,90,4.914,23033.7,13208.7,9197.33
23.03,74.1,4.91,25648.9,15858.2,19738.2
16.69,62.82,4.92,22104.3,13294.8,14469.4
24.27,76.8,4.911,29081.3,19338.1,18658.3
20.95,67.25,0.079,32256,20244,19880.2
21.4,67.47,4.923,35252.5,22703.4,17670.6
17.3,64.93,4.923,30690.6,19083,11204.9
25.14,54.05,4.924,37395.4,22011.6,16544.6
24.46,82.9,4.919,42724.8,27064.6,32866.9
22.34,71.2,4.905,41592.2,28400.8,29377.8
22.2,57.63,4.904,28978.6,19632.9,21334.9
19.47,87.4,0.073,31932.1,23963.9,11677.6
13.05,55.01,0.083,43633.2,25641.3,24695.6
18.38,84.1,0.172,31037.2,19262.2,13597.6
23.69,38.52,4.924,36866.5,22716.6,13854.3
22.07,75,4.918,28501.2,17479.8,20936.9
22.76,84.2,4.919,38406.4,22269.9,29721.6
18.22,70.1,0.081,29789.4,25745.2,16112.8
13.95,64.85,0.081,31527.5,19123.4,14721.3
19.14,66.01,0.083,38990.8,32723.6,17407.2
19.85,84.7,4.911,26168.5,18430.4,8019.28
18.74,90.3,4.914,22221.6,12564.7,9893.44
21.79,46.03,4.922,44544,24824.8,26298.9
21.45,74.4,4.912,35288.8,23687,24653
14.97,56.71,0.08,22442,12036.5,12897.8
17.3,87.5,4.918,28869.2,18583.3,12977.5
15.24,64.65,0.081,22886.7,18716.2,6978.15
24.52,88.7,4.918,29822.9,18460,18574
16.58,71.6,0.073,32658.2,20538.6,15452.5
13.83,68.78,0.077,34126.8,20214,19595.6
16.93,73,0.074,35052.2,20447.4,16649.6
23.92,50.65,0.073,35088.8,21154.2,17898
20.11,69.65,4.917,43257.2,26356.3,27275.8
18.74,85.1,4.915,25541.9,16405.4,11175.7
18.03,66.89,0.114,26966.1,16394.2,11881.8
12.55,69.59,4.923,41401.5,25265.7,25573
13.63,74.7,0.087,38518.5,22964.6,23254.8
14.38,65.87,4.916,31759.3,19973.3,15566.5
10,82.1,0.071,23052.3,13423.2,14011
13.7,69.41,0.071,25999.3,17135.6,12266.8
29.65,49.62,4.911,40371,27968.4,29703.8
20.68,67.37,4.91,24736.7,16465.8,19997.3
17.42,72.3,0.076,22544.1,13846.2,11756.3
22.52,50.76,4.912,28130.2,19344.3,20328.7
7.9,87.3,0.084,24081.7,14326.8,14620.6
20.69,79.4,4.923,45563.9,30753.4,16626.9
11.76,56.99,0.09,22918.5,13885.7,13995.2
20.37,78.3,0.081,45078,28064.3,19357.6
14.13,83.5,0.079,21329.3,16926.7,9478.99
18.25,72.3,0.072,38344.6,31619,21808.2
22.06,75.8,4.92,39859.7,23569.2,21047.8
15.17,57.28,0.079,24406.8,14629.8,14906.5
21.22,57.94,0.085,27085.9,21122,9979.33
26.4,63.39,4.905,28052,21094.4,17912
9.21,76.7,0.081,22067.8,13750.8,14012.5
26.03,41.98,4.927,39188.5,26644.6,24279.9
11.72,82.8,0.085,24826.3,16154.4,11629.9
22.26,71.4,4.917,35877.1,23228.2,12249.5
6.817,87,0.09,21262.4,15807.3,9352.22
25.32,36.08,4.918,34364.6,21047.3,13381.6
11.83,49.45,0.087,24789.9,15297.3,11722.4
7.2,78.8,0.085,21225.9,16867.8,9709.48
18.77,42.44,0.086,35325.6,22263.8,16580.2
19.47,58.74,0.071,33915.2,20764.2,17960.7
14.79,71.1,0.072,25293.6,15187.6,15262.8
21.57,64.38,0.073,30824.6,25687.2,10907
31.84,54.19,4.91,37653.7,25720.3,31625.8
26.35,61.12,4.901,29950.7,24382.7,21691.8
22.05,43.39,4.909,29611.9,20782.7,20415.8
33.73,22.08,0.639,31752.4,17892.3,17052.6
20.87,62.31,0.074,29175.4,23876,11635.7
21.97,77.3,0.069,28990.7,17820.4,13469.5
34.94,24.01,4.906,41442.7,30057,31167.9
10.31,82.9,0.075,28360.7,16566.6,16851.6
14.97,78.3,0.082,37974.1,31485.7,15731.1
10.73,65.84,0.079,33419,20772,16405.9
8.87,81.1,0.084,24473.9,14403.6,14452
15.86,86.4,0.077,33351,18289.6,18688
9.14,87.7,0.084,26937.2,16320.7,12727.7
9.88,86.9,0.076,22710.5,12368.4,13650.3
16.02,85,0.067,28539.6,16016.7,19322.2
25.07,75.3,0.321,32278.9,20675.7,16750.5
6.243,63.37,0.081,21111.9,13258.4,11022.2
25.84,74.3,4.921,37207.2,24413.9,23576.2
25.47,46.35,4.908,32040.4,22374.7,27938.4
12.81,56.76,4.918,34791.9,21176.9,16845.8
19.64,88.9,4.912,27646.7,17214.1,9631.38
19.31,91.4,4.917,23480.7,15113.3,10610.5
23.85,45.87,0.08,35857,21817,21628.1
9.52,74.8,4.924,22849.2,19885.5,7390.84
15.17,87.1,0.072,22615.4,16720.7,10305.5
19.94,85.2,0.066,25214.3,13958.4,15572.7
10.58,81.6,0.082,38321,24977.5,24532
5.514,93,0.081,23781,16514.3,7681.15
21.34,81.2,0.081,31295.6,26637.8,12529.6
14.72,84.4,0.071,39464.4,21684.3,26141.1
15.55,55.59,0.085,34118.8,20089,16443.9
20.55,88.3,4.92,32023.3,19661.5,24818.2
13.78,69.62,0.076,34248.8,20801.2,19375.6
29.05,50.88,4.907,49442.7,36201.5,37960.6
23.44,63.68,4.904,35819.4,23759.2,25802.6
15.72,58.01,0.082,43499,26531.3,25234
15.93,60.71,0.083,37268.4,29887.7,16336.1
10.36,77.6,0.083,31643.4,19262,15595.4
17.24,58.82,4.919,35000.7,21919.5,21314.3
12.27,78.8,0.077,34293.5,28819.9,14538.3
20.67,70.6,4.925,29600.4,21349.8,11204.9
16.6,83.5,0.065,24242.8,13340.5,14528
25.87,87.8,4.91,22873.8,16791.1,16551.7
11.7,83.2,0.082,24670,14959.8,14835.5
13.45,61.75,4.917,33524.4,19737.8,20514.2
12.33,76.6,0.087,26276.5,17090.8,13114.2
12.97,81.7,0.083,40418,22803.7,24201.3
24.11,56.32,0.07,36238.4,23688.1,18160.2
11.79,78,0.086,31507.2,24364.5,9092.92
20.47,72.8,0.072,39003.1,32414.9,17418.8
10.63,81.2,0.073,42449.5,25185.4,24736.2
27.74,72.8,4.906,31024.7,21318.7,21908.5
27.11,51.28,4.906,39699.9,25523.1,23274.7
12.54,66.19,0.076,40401.5,34052.2,16578.2
15.55,71.9,0.074,31298.7,17259.5,22062.5
13.64,86.4,0.081,23606.2,18401.7,8582.17
25.81,88.8,4.907,35634,25268.4,27975.4
23.1,64.48,0.068,40575.7,28450.3,31291.8
22.81,77,0.068,29423,21959.3,15560.9
17.79,68.26,0.076,31884.4,25955.2,9657.62
24.32,86.6,4.919,37436.8,24649.4,29938.7
13.67,80.2,0.079,22479.1,17604.2,6914.77
24.16,86.7,4.915,29246.5,19708.9,23136.4
14.74,69.56,4.919,33575.4,27119,14683.4
26.85,61.85,0.325,32259.8,21330.6,16173.9
13.52,55.04,0.08,20696.6,15689.5,9588.48
23.33,56.55,4.923,28742.5,18536,19001.4
15,54.92,0.085,31397.7,26076.7,9588.48
13.43,66.96,4.914,38788.9,23664.4,24543.6
27.62,33.89,4.916,35793.4,22995.8,18337.5
13.22,75.6,0.083,43133.2,27311.9,25555.7
11.23,66.01,0.089,35714.4,22953.2,17950.8
13.84,66.49,0.083,30886.8,19032.2,18733
20.18,55.86,0.09,32045.5,19206.2,9436.6
27.39,37.98,4.921,44804.3,29088.6,38777.6
26.59,77.9,4.925,35122.6,22333.7,26819.8
19.61,44.05,4.909,24280.2,15806.5,16244.8
14.84,58.85,0.078,21451,17493.7,9611.52
8.96,76.5,0.082,22310.9,14148.3,14920.5
20.44,89.3,0.063,37077.6,22262.4,23116.8
16.47,77.5,0.073,32699.9,15074.5,17786.2
21.53,75.7,4.914,26225.8,14890.2,12767.3
8.58,87.2,0.075,22788.8,13463.4,13999.4
19,70.2,0.073,23883.1,18769.8,11508.4
24.12,52.03,4.924,33292,18621.2,14191.1
20.55,78.3,4.915,27621.2,17476.1,8131.07
11.87,83.2,4.919,30508.5,21085.7,15844.3
8.88,51.48,0.096,34376.9,20939.8,22698.5
16.34,50.08,4.915,30320,25657.4,9958.55
21.28,77.1,4.912,26149.4,14875.3,12549.6
9.98,75.1,0.084,22298.7,13845.6,14105.1
21.57,87,4.911,33432.2,21618.7,12837.9
20.03,73.1,0.08,40370.9,24758.4,24381
20.12,70.8,4.917,25857,14575.5,12395.4
25.18,26.63,4.923,31639.1,20355.4,15577.7
29.1,47.88,4.91,37302.9,26005.1,27685.4
20.45,66.34,0.073,28609.2,21901.2,16441.4
21.39,67.37,4.902,25432,16355.7,17424.6
20.03,73.1,0.071,27403.1,19848.3,15730.1
18.17,79.9,0.07,20215.4,14426,7645.3
22.34,67.96,0.068,32193,20600.6,16213.1
22.05,70.6,0.065,44567.5,25786.3,19468.4
19.26,82.5,4.917,31827.9,20875.5,14761.5
17.75,80.1,0.082,41359.8,34095.4,19789.4
12.05,83.5,0.077,20978.5,14582.2,9617.35
16.04,65.13,0.082,38776.1,21746.6,25041.5
11.02,58.11,0.077,20245.8,12102.4,10248.4
19.99,87.9,0.068,27262.3,16685.5,11391.6
8.47,85,0.089,24291.6,15005.5,11589.4
21.3,72.2,0.069,26141.5,21183.5,11363.9
9.4,84.4,0.077,23258.7,15176.9,14712.3
23.2,69.83,0.073,34776.2,18741,16653.8
22.86,25.59,0.088,32699.9,18399.6,17704.7
26.89,77,4.908,31779.1,21364.3,21890.4
9.26,86.8,0.083,29733.6,18795.1,18924.1
10.68,80.5,0.084,21946.3,13918.5,14099.3
17.44,71.4,0.087,40282.8,22325.9,26123.6
13.36,85.7,0.084,23209.1,19386.3,10072.5
20.57,53.94,0.079,28313.8,21663.2,11230.8
24.12,37.95,4.919,32519.5,22112.2,15979.4
6.536,87.4,0.082,25393.2,20122.7,7854.02
19.01,81.8,0.07,22953.8,17933.1,10114.7
19.79,74.7,0.066,36578.5,29588.4,17170.1
22.46,49.7,0.087,31987.7,26624.4,11068.9
14.29,49.08,0.082,38606.6,24167.8,19408.2
16.75,54.71,4.918,29359,16756.2,16481.9
21.14,81.2,4.917,22092.7,12974.2,13717.7
26.97,82.4,4.908,31184.6,22683.4,24261.8
18.13,79.3,0.074,36655.7,17039.5,17448.7
16.01,69.95,4.916,43114.2,25350,25083.9
26.53,53.68,0.071,49730.3,33160.3,38995.9
19.6,57.89,4.918,32006.2,26706.2,10560
18.86,90.8,4.919,22574.2,13434.1,10610.5
22.04,72.4,0.068,24985.4,13861.1,13959.9
34.73,29.38,4.907,37353.9,25169.6,27528.7
9.96,76.9,0.083,31787.1,27295.5,13449.2
26.43,77.8,4.913,49046.1,31572.2,43971.2
21.67,72.2,0.067,45071.7,25887.1,19526.8
12.1,82.3,0.084,34584.5,20773.2,20647.7
19.74,67.71,4.922,28935.4,21860.3,18777.8
24.8,89,4.92,44859,27020.9,25062.3
10.56,67.31,0.083,22598.8,12885.4,13482.6
19.55,69.25,4.921,28929.2,21607.4,18737.3
18.54,72.3,0.075,26389,16019.8,15851.7
26.77,74,4.902,41342.9,29799.8,26783.7
13.64,67.42,0.084,40899.7,24787.8,25372.9
24.69,35.34,0.083,34547.3,19541.8,16647.9
24.87,66.03,0.072,34445.6,21521.4,16854.6
23.1,71.2,0.075,37288.8,23560.6,12395.4
27.41,63.2,4.908,40785.6,27330.4,27570.9
14.67,68.58,0.083,35479.1,21556.1,19718.7
22.44,75.6,4.911,25494.9,16327.3,14986.8
20.3,73.5,0.076,24399.7,15183.9,15047.1
20.48,85.6,0.065,44846.6,25589.2,25657.1
12.6,65.98,0.083,29322.5,13889.4,14648.7
19.19,69.18,0.076,36529.2,29941.7,17112.3
27.21,35.58,4.925,46264.8,26928.9,19815.8
15.37,37.97,4.914,29563.1,24902.5,9333.98
26.31,73.7,4.908,34802.9,23960.7,22052.9
15.44,64.93,0.074,32336.2,21443.2,16632.3
5.572,85.7,0.084,20848.7,16278.6,9490.52
18.84,55.86,0.082,38565.3,21119.8,25146.2
16.62,66.89,0.073,38444.9,22876.8,18174.2
21.51,70.7,4.921,36266,22744.3,18346.9
9.87,88,0.084,23236.1,12468.3,13796.1
14.9,85.2,0.076,36412.3,29904.5,21443.9
16.35,73.5,0.075,33733.7,20925.2,16158.1
18.29,45.13,0.078,37489,22679.3,18063.9
21.42,71,4.915,40205.6,25342.2,30206
13.82,66.62,0.085,37665.8,23679,23034.2
23.71,76.6,0.273,46054.5,28313.5,23440.1
15.36,81,0.074,21753.8,15958.3,10484.8
22.29,50.22,0.079,40243.7,24522.7,22573.3
18.3,80.6,4.925,33100.9,19564.2,15238.4
23.74,57.21,0.07,35170.3,21139.7,17870.8
23.88,64.73,4.923,32635.8,22704,13443.9
18.7,58.49,4.918,31667.7,25594.2,9837.11
22.02,78.7,0.084,45863.8,25596.7,27476.7
15.56,64.22,0.077,23601.4,14235.9,14663.4
13.68,74.3,0.073,42791.2,24459.6,25413.5
19.36,69.79,4.92,24524.6,13150.1,9619.61
27.36,34.41,4.927,32221.6,18131,16215.1
27.51,73.2,4.905,40876.2,31544.7,27873.1
8.3,86.7,4.918,25867.7,20340,7663.87
29.97,40.85,4.907,47808.6,31963.3,42796.3
14.69,73.2,0.076,44603.5,27133.1,25856.4
20.87,70.9,4.917,28997.7,19131.6,21636.2
17.26,52.82,4.921,37778.5,32511.6,15585.5
10.04,84.8,0.078,23272.9,13803.7,14225.8
17.97,86.9,4.915,24836.1,13836.1,11870.2
27.72,46.12,4.903,48038.3,32612.7,37217.1
11.83,65.41,4.916,32424.4,20028,15132.3
14.77,57.64,0.079,22454.2,13480.9,14466.6
15.25,72.7,0.07,23362.4,12724.6,16011.6
15.26,56.34,0.081,33149.8,26883.1,14866.7
29.39,33.38,4.909,50755.6,35008.9,47429.6
13.32,55.71,4.919,25062.1,13192.7,12611.6
6.845,85.3,0.093,28368.6,18496,13283.9
24.62,87.1,4.92,38932.7,24185,23124.3
12.73,83.5,4.916,18526.2,10253.8,10164.4
24.33,85.4,4.914,33092.9,21877.2,26474.3
17.16,61.32,0.074,34057.5,20732.9,17761.9
20.7,89.7,0.067,23179.9,14332.6,12819.7
11.25,67.75,0.089,31643.5,18860.8,16603.4
21.42,69.6,4.92,34578.9,22275.9,12838.9
18.52,66.81,0.075,31433.8,24515.7,17482.4
22.87,51.68,4.92,31025.9,17897.4,17832.7
20.57,70.9,0.078,26766.7,16450.8,16265.6
19.79,60.79,4.924,36889.2,23442.7,19483.7
19.64,75.3,0.104,27684.6,18362.2,9815.93
25.85,51.2,4.92,30330.9,20327.8,20961.3
13.61,75.2,0.072,42571.5,24766,25205.1
17.35,61.93,4.924,29889.6,15769.6,14667.7
10.35,77.4,0.088,32584,25800.6,9674.91
9.91,85.7,0.087,36195.3,23022.5,22762.1
19.06,44.06,0.083,33370.2,20947.1,16047
17.89,87.8,0.072,23489.2,16988.4,8934.94
9.51,62.4,0.081,22025.3,13550.2,14313.3
21.51,77.3,4.917,41006.6,23115.6,27990.6
19.01,87.2,4.914,43184.3,26192,24485.8
17.77,67.06,0.079,23707.3,14095.4,15414.4
24.81,62.29,0.072,33720.8,21106,16281.6
8.65,89.4,0.081,24492.2,14753.8,13719.8
28.08,41.11,4.903,39591.2,26370.9,24809.5
14.27,77.3,4.915,23078.2,11761.7,10672.8
5.524,87.7,0.088,24443.5,16117.9,13301.2
14.13,89.8,0.258,29339.4,17442.8,14801.5
27.19,65.99,4.921,37737.3,23428.5,21764
15.34,66.83,0.071,31874.4,21045.6,16458.8
28.65,62.85,4.908,39139.9,28070.9,33529.7
20.46,69.02,0.275,25677.9,16061.5,10502.1
15.17,58.21,0.08,22765.4,13178.1,13858.7
16.19,82,0.072,24304.8,13373.5,15447.3
27.62,34.94,4.907,39482.5,25990.7,22787.2
30.06,51.77,0.068,35386.5,20020.8,22803.7
14.4,86.4,0.07,23790.2,13113.2,15429.8
28.23,42.51,4.909,38642.4,24835.4,33511.6
11.39,85.2,0.082,22156.7,16790.4,8280.43
18.56,60.65,0.081,32672.7,21032.9,16182.6
18.31,86.2,4.922,35856.8,22057,21757.4
20.04,78.5,4.909,28282.2,17977.2,18188.8
13.68,78.4,0.084,20781.7,15339.7,9732.53
10.93,53.59,0.086,36723,23963.5,23334.9
22.64,75.2,4.917,29130.6,16080.2,15330.5
11.81,71.9,0.081,20282.6,10920.7,10892.9
23.22,47.37,0.071,46550.5,28395.8,28935.9
